Date;PCR
2021-02-05 00:00:00;1.64
2021-02-08 00:00:00;1.61
2021-02-09 00:00:00;2.33
2021-02-10 00:00:00;1.57
2021-02-11 00:00:00;1.86
2021-02-12 00:00:00;1.7
2021-02-16 00:00:00;1.89
2021-02-17 00:00:00;1.8
2021-02-18 00:00:00;1.66
2021-02-19 00:00:00;1.99
2021-02-22 00:00:00;1.66
2021-02-23 00:00:00;1.64
2021-02-24 00:00:00;1.35
2021-02-25 00:00:00;1.82
2021-02-26 00:00:00;1.71
2021-03-01 00:00:00;1.65
2021-03-02 00:00:00;1.96
2021-03-03 00:00:00;1.49
2021-03-04 00:00:00;1.43
2021-03-05 00:00:00;1.49
2021-03-08 00:00:00;1.69
2021-03-09 00:00:00;1.89
2021-03-10 00:00:00;1.63
2021-03-11 00:00:00;1.42
2021-03-12 00:00:00;1.76
2021-03-15 00:00:00;1.45
2021-03-16 00:00:00;1.61
2021-03-17 00:00:00;1.44
2021-03-18 00:00:00;1.49
2021-03-19 00:00:00;1.46
2021-03-22 00:00:00;1.46
2021-03-23 00:00:00;1.61
2021-03-24 00:00:00;1.46
2021-03-25 00:00:00;1.51
2021-03-26 00:00:00;1.68
2021-03-29 00:00:00;1.51
2021-03-30 00:00:00;1.47
2021-03-31 00:00:00;1.27
2021-04-01 00:00:00;1.55
2021-04-05 00:00:00;1.39
2021-04-06 00:00:00;1.8
2021-04-07 00:00:00;1.74
2021-04-08 00:00:00;1.74
2021-04-09 00:00:00;1.53
2021-04-12 00:00:00;1.62
2021-04-13 00:00:00;1.59
2021-04-14 00:00:00;1.7
2021-04-15 00:00:00;1.38
2021-04-16 00:00:00;1.5
2021-04-19 00:00:00;1.9
2021-04-20 00:00:00;1.77
2021-04-21 00:00:00;1.54
2021-04-22 00:00:00;1.83
2021-04-23 00:00:00;1.6
2021-04-26 00:00:00;1.61
2021-04-27 00:00:00;1.89
2021-04-28 00:00:00;1.7
2021-04-29 00:00:00;1.49
2021-04-30 00:00:00;1.74
2021-05-03 00:00:00;1.76
2021-05-04 00:00:00;1.62
2021-05-05 00:00:00;1.91
2021-05-06 00:00:00;1.8
2021-05-07 00:00:00;1.76
2021-05-10 00:00:00;2.05
2021-05-11 00:00:00;2.03
2021-05-12 00:00:00;1.93
2021-05-13 00:00:00;2.27
2021-05-14 00:00:00;2.01
2021-05-17 00:00:00;2.17
2021-05-18 00:00:00;2.33
2021-05-19 00:00:00;1.76
2021-05-20 00:00:00;1.87
2021-05-21 00:00:00;1.76
2021-05-24 00:00:00;1.74
2021-05-25 00:00:00;1.73
2021-05-26 00:00:00;1.8
2021-05-27 00:00:00;1.93
2021-05-28 00:00:00;1.84
2021-06-01 00:00:00;1.81
2021-06-02 00:00:00;1.86
2021-06-03 00:00:00;1.63
2021-06-04 00:00:00;1.87
2021-06-07 00:00:00;1.83
2021-06-08 00:00:00;2.37
2021-06-09 00:00:00;1.74
2021-06-10 00:00:00;1.74
2021-06-11 00:00:00;1.82
2021-06-14 00:00:00;2.03
2021-06-15 00:00:00;1.84
2021-06-16 00:00:00;2.02
2021-06-17 00:00:00;1.86
2021-06-18 00:00:00;1.95
2021-06-21 00:00:00;1.77
2021-06-22 00:00:00;1.84
2021-06-23 00:00:00;1.88
2021-06-24 00:00:00;1.92
2021-06-25 00:00:00;1.68
2021-06-28 00:00:00;1.92
2021-06-29 00:00:00;1.86
2021-06-30 00:00:00;1.61
2021-07-01 00:00:00;1.98
2021-07-02 00:00:00;1.52
2021-07-06 00:00:00;1.9
2021-07-07 00:00:00;1.7
2021-07-08 00:00:00;1.87
2021-07-09 00:00:00;1.56
2021-07-12 00:00:00;2.08
2021-07-13 00:00:00;2.39
2021-07-14 00:00:00;1.83
2021-07-15 00:00:00;1.88
2021-07-16 00:00:00;2.2
2021-07-19 00:00:00;2.42
2021-07-20 00:00:00;1.75
2021-07-21 00:00:00;1.92
2021-07-22 00:00:00;1.69
2021-07-23 00:00:00;1.38
2021-07-26 00:00:00;1.9
2021-07-27 00:00:00;1.79
2021-07-28 00:00:00;1.87
2021-07-29 00:00:00;1.7
2021-07-30 00:00:00;1.79
2021-08-02 00:00:00;2.1
2021-08-03 00:00:00;1.52
2021-08-04 00:00:00;1.94
2021-08-05 00:00:00;2.17
2021-08-06 00:00:00;1.95
2021-08-09 00:00:00;2.05
2021-08-10 00:00:00;1.82
2021-08-11 00:00:00;1.81
2021-08-12 00:00:00;1.81
2021-08-13 00:00:00;2.38
2021-08-16 00:00:00;1.65
2021-08-17 00:00:00;1.95
2021-08-18 00:00:00;2.15
2021-08-19 00:00:00;2.02
2021-08-20 00:00:00;2
2021-08-23 00:00:00;1.74
2021-08-24 00:00:00;1.87
2021-08-25 00:00:00;2.02
2021-08-26 00:00:00;1.98
2021-08-27 00:00:00;2.08
2021-08-30 00:00:00;1.72
2021-08-31 00:00:00;1.94
2021-09-01 00:00:00;2.05
2021-09-02 00:00:00;1.72
2021-09-03 00:00:00;2.25
2021-09-07 00:00:00;2.15
2021-09-08 00:00:00;2.07
2021-09-09 00:00:00;1.85
2021-09-10 00:00:00;2.27
2021-09-13 00:00:00;2.27
2021-09-14 00:00:00;1.73
2021-09-15 00:00:00;1.88
2021-09-16 00:00:00;1.93
2021-09-17 00:00:00;1.91
2021-09-20 00:00:00;1.9
2021-09-21 00:00:00;1.91
2021-09-22 00:00:00;1.8
2021-09-23 00:00:00;1.78
2021-09-24 00:00:00;2.05
2021-09-27 00:00:00;2.26
2021-09-28 00:00:00;1.94
2021-09-29 00:00:00;1.63
2021-09-30 00:00:00;1.62
2021-10-01 00:00:00;1.49
2021-10-04 00:00:00;1.78
2021-10-05 00:00:00;1.67
2021-10-06 00:00:00;1.46
2021-10-07 00:00:00;1.78
2021-10-08 00:00:00;2.11
2021-10-11 00:00:00;1.88
2021-10-12 00:00:00;1.73
2021-10-13 00:00:00;2.04
2021-10-14 00:00:00;1.57
2021-10-15 00:00:00;1.68
2021-10-18 00:00:00;1.94
2021-10-19 00:00:00;1.7
2021-10-20 00:00:00;1.62
2021-10-21 00:00:00;1.81
2021-10-22 00:00:00;1.74
2021-10-25 00:00:00;1.65
